"variable","n","n_unique","beta","se","t_value","p_value","r_squared","adj_r_squared","fdr","significant_fdr05","significant_fdr10","label","category"
"BSL_FA22.6_w3",352,308,-0.0846400990288284,0.0361278642483456,-2.3427927664643,0.0197028207776709,0.0914816200144826,0.0836495650146075,0.199952063002388,FALSE,FALSE,"DHA oxylipin (LPH)","Nutrition"
"BSH_FA20.5_w3",352,308,-0.0827777131513918,0.0362073670730337,-2.28621189119941,0.0228422407386954,0.0908079652381873,0.082970102869551,0.199952063002388,FALSE,FALSE,"EPA oxylipin (HPH)","Nutrition"
"X848",461,21,-0.070751872747343,0.0313146961526797,-2.25938238079594,0.0243298737608105,0.0324112896141613,0.0260595037691778,0.199952063002388,FALSE,FALSE,"Cotinine","Smoking"
"X100002719",461,10,-0.0671084454455815,0.0311973515944849,-2.15109430819266,0.031992330080382,0.0314102170694871,0.0250518596323066,0.199952063002388,FALSE,FALSE,"Hydroxycotinine 2","Smoking"
"BSH_FA22.6_w3",352,308,-0.0731024392659614,0.0360822498359669,-2.02599448754697,0.043527878539691,0.0879104899927887,0.0800476493892783,0.217639392698455,FALSE,FALSE,"DHA oxylipin (HPH)","Nutrition"
"BSL_FA20.5_w3",336,292,-0.072319689265717,0.0373893878727333,-1.93423036268687,0.0539343154536966,0.0900260362215866,0.0818033799223842,0.219065474877959,FALSE,FALSE,"EPA oxylipin (LPH)","Nutrition"
"NPIQ_K",237,3,0.0827564965131457,0.0441260651665032,1.87545606436641,0.0619806307200065,0.0269455565823695,0.0144169585984515,0.219065474877959,FALSE,FALSE,"NPIQ Sleep (NPIQ-K)","Sleep"
"X100004494",461,13,-0.0566354186770045,0.0311953362417106,-1.8155091593877,0.0701009519609469,0.0286091459635281,0.0222324007510349,0.219065474877959,FALSE,FALSE,"Nicotine metabolite","Smoking"
"NPIQ_KSEV",186,4,0.0639893884421602,0.0499856821777802,1.28015434929095,0.202120090682388,0.0317630776984544,0.0158031284297476,0.511311448272444,FALSE,FALSE,"NPIQ Sleep Severity","Sleep"
"EPA",446,317,-0.0397847290695865,0.0317081841767441,-1.25471483475128,0.210245344778508,0.0278954672814115,0.0212974727154482,0.511311448272444,FALSE,FALSE,"EPA (n-3 PUFA)","Nutrition"
"HCys",462,272,0.0381053636985592,0.0313614200928035,1.21503948436644,0.224977037239875,0.0247535659553576,0.0183654888764625,0.511311448272444,FALSE,FALSE,"Homocysteine","Nutrition"
"X100001181",461,425,0.0285083321260199,0.0313016428110024,0.910761530893176,0.362901161515061,0.0233757128489625,0.0169646124956735,0.654601056470784,FALSE,FALSE,"DHA (22:6) metabolite","Nutrition"
"X100008930",461,425,0.0270491045708668,0.0312912106264586,0.86443138598144,0.38780445288812,0.0232002395668493,0.0167879873101767,0.654601056470784,FALSE,FALSE,"Oleate (18:1)","Nutrition"
"X2050",461,425,-0.026204761831693,0.0311746218227239,-0.840579942900599,0.401022870030595,0.0231134514384498,0.0167006294566454,0.654601056470784,FALSE,FALSE,"Linoleate (18:2)","Nutrition"
"X439",461,425,0.0248151207429189,0.0309551701464242,0.801647047182698,0.423173775923157,0.0229769719012284,0.0165632539924839,0.654601056470784,FALSE,FALSE,"Stearate (18:0)","Nutrition"
"X100002717",461,47,-0.024473255384053,0.0310122504825574,-0.789147998073142,0.430434722772491,0.0229345208554847,0.0165205242746673,0.654601056470784,FALSE,FALSE,"Hydroxycotinine 1","Smoking"
"X424",461,425,0.0237042987058255,0.0310175125990974,0.764223070115407,0.445128718400133,0.0228518481923459,0.0164373089025802,0.654601056470784,FALSE,FALSE,"Palmitate (16:0)","Nutrition"
"DHA",461,312,-0.021069000618188,0.0316563732338768,-0.665553203537582,0.506032494429235,0.0214700414603092,0.0150464312291954,0.696372439409699,FALSE,FALSE,"DHA (n-3 PUFA)","Nutrition"
"MH16ASMOK",368,2,0.0217367903276139,0.0345156842844013,0.62976559144845,0.529243053951372,0.0791633637445649,0.0715740508083937,0.696372439409699,FALSE,FALSE,"Smoking Packs/Day","Smoking"
"NPIK",301,2,0.0215073978149566,0.0382496215110091,0.562290474136229,0.574342258704975,0.069040770961166,0.0596371423850162,0.717927823381218,FALSE,FALSE,"NPI Sleep (NPIK)","Sleep"
"NPIKTOT",301,9,0.0153552917121004,0.038254348997095,0.401399896081527,0.68841438297331,0.0685550276782507,0.0591464926042936,0.780401545165022,FALSE,FALSE,"NPI Total Score","Sleep"
"MH16CSMOK",368,2,-0.0130422507534572,0.0345848705171362,-0.37710856101066,0.706312686406716,0.0785200569407186,0.0709254420253947,0.780401545165022,FALSE,FALSE,"Smoking Pack-Years","Smoking"
"MH14ALCH",539,2,0.00924809270682722,0.0293663420887314,0.314921507039719,0.752944037956462,0.028176427619683,0.0227269496437185,0.780401545165022,FALSE,FALSE,"Alcohol Abuse History","Alcohol"
"X100000665",461,425,-0.00907403521699527,0.0311284106462106,-0.29150332537456,0.770798666845621,0.0217849607766738,0.0153634178496062,0.780401545165022,FALSE,FALSE,"Arachidonate (20:4)","Nutrition"
"MH16SMOK",539,2,-0.00818586802913843,0.0293467355789753,-0.278936238312072,0.780401545165022,0.0281376145790277,0.0226879189598447,0.780401545165022,FALSE,FALSE,"Smoking Status","Smoking"
